"","(Intercept)","Epoch2-1","Epoch3-2","Epoch4-3","Epoch5-4","Probability1","Session1","Epoch2-1:Probability1","Epoch3-2:Probability1","Epoch4-3:Probability1","Epoch5-4:Probability1","Epoch2-1:Session1","Epoch3-2:Session1","Epoch4-3:Session1","Epoch5-4:Session1","Probability1:Session1","Epoch2-1:Probability1:Session1","Epoch3-2:Probability1:Session1","Epoch4-3:Probability1:Session1","Epoch5-4:Probability1:Session1"
"P016G02S02",0.691215537816002,1.10502372096792,-0.811363364996939,-2.36138714942682,-0.468810118855756,0.456789992427496,0.576239865376079,0.228257629337669,-1.11312794337054,-0.474029767167256,-0.236893924657039,1.58671104241661,-0.301363843799094,-0.0675732710162225,-0.653943165153602,-0.640398108972425,-0.170485082085753,0.0206167490671005,1.75814865772539,-1.61272698392553
"P017G01S01",0.822528800157658,0.543111643086282,-0.938207013561744,1.34590788289796,-0.505675890494011,-0.902563613392899,0.833379148661863,-0.11019818977434,-0.932681096313266,0.463825901836734,-0.106920317256665,0.798247251636614,-1.11074626351202,1.53837512820088,-0.577606396582179,-0.143354611719576,-0.0978144735013486,-0.873148184538329,0.463778761205265,-0.109067882008827
"P018G01S02",-2.35892846667908,1.36271742286751,-0.223082048094626,0.619514230320176,-0.261345294889805,0.0837302463872448,-1.3078526874821,0.639613563371,-0.190943643006383,0.0369832650890312,-0.181034940049718,0.435824636630613,0.660805047656942,0.203829745622791,-0.881609403622113,0.176709057815322,-0.0512814352805467,0.730104805700716,-0.406642663235732,0.105764853165975
"P019G02S01",0.305196456337007,0.873494066586078,-1.32814096821857,-1.12942133371935,2.5700425425343,-1.31980649575342,-0.877174677623552,-1.66755165277189,0.0464387305246657,0.0524017712961012,0.314567665084154,2.4107201547992,-1.08888633641986,-0.551844002259476,-2.29683686278991,-0.251776147758087,1.27726527604643,-0.188266315231816,0.502377937629696,-1.17294754878495
"P020G02S02",-0.423530216929152,0.299469611049147,-1.07124069175421,1.23510345009744,0.657264962308485,1.28515586409594,-0.99340104183892,-0.313846544229933,-1.68971798694573,1.63513615867636,0.424147342056084,0.0946086745703749,-0.152303344687122,-0.0397558258554425,0.526251640912372,0.805225350242663,-0.503676276569949,-1.25197116931328,0.462660913011715,0.625688472882099
"P021G01S01",2.16777627834467,1.97194080246468,0.977229659953723,-2.16821591971086,1.22425632862043,-1.06857974294372,-0.2748889890014,0.57558339654961,1.13646331552815,-1.72456040789464,0.762743238833121,-0.704593489516859,-1.65033970071748,0.992489798606976,0.27366419884969,0.904400060634954,-1.13064551734779,0.719269181135787,-0.0731669853641887,-0.880256493450765
"P022G01S02",-0.838080889607677,-0.00605354187690911,-0.161390314917688,0.593196474041187,-0.413595152638156,1.54623068802692,-1.46230066474895,1.21501076443035,0.575631195255219,0.501663221594019,-1.52312265278281,-0.564912559895225,-1.02924902597546,-0.319675392797204,0.988804314297396,-0.0316232955595856,0.700301649135886,-0.652620680015075,-0.909264642888773,1.34663561127883
"P023G02S01",0.827586263578772,-0.926157291967067,0.915688808381262,-0.613140358129445,-0.481390470774993,-0.686684149233009,-0.212982162651843,0.00332199878528339,0.254923726152457,0.38566951506386,-1.74508530578519,-0.220832770519737,0.819893008841418,-2.02049818935903,1.86681572503029,0.739514185854802,-0.994877784964965,-0.181836070101221,-0.545117969340444,1.20258163968568
"P024G02S02",1.82572774350374,1.33539138752551,-1.72801312555006,0.271800147145916,-0.0738312922148877,-2.5364716366565,1.81339398659992,0.0261186818765996,0.16055135525863,0.46093469441362,-0.959731445742047,1.52449883187198,-1.5880450606611,0.50579875388597,-0.154733276234073,-0.441118261998148,0.108617685755517,0.109895845175327,0.45501864561193,-0.979045335091283
"P025G01S01",-0.293113504708686,0.291965565323776,-1.1125763271551,-2.28890588662329,0.200784671618352,-1.56182522723029,-0.458368339912206,1.29219070530933,-1.04651086646192,-1.09845159477204,0.395002723520191,1.36538130902316,-0.390338885067048,-0.921858719346785,0.705270647840228,-0.22369653642942,1.3690156937633,-0.748454180949515,-1.32953862922937,0.527775770577207
