"","mean_Improb_1","mean_Improb_2","mean_Prob_1","mean_Prob_2","sd_Improb_1","sd_Improb_2","sd_Prob_1","sd_Prob_2"
"1",502.99,434.04,472.26,410.35,147.18,102.52,136.86,99.17
"2",485.8,440.61,461.9,407.29,134.34,110.43,131.61,100.12
"3",475.39,436.81,447.24,402.03,132.8,105.82,126.59,101.07
