"","(Intercept)","Probability1","Session1","Distance","Probability1:Session1","Probability1:Distance","Session1:Distance","Probability1:Session1:Distance"
"P001G01S01",-0.829850053054868,0.326878084667742,-0.395062844696724,0.94810572110152,-0.3378061532914,-0.433675882745553,0.533451397785353,0.36157425444256
"P002G01S02",0.565768333428959,-0.369344887304582,0.954124666247796,0.399344576720059,0.509838550451034,-0.301490981883836,0.824936257154918,0.348372857462424
"P003G02S01",-0.499743235624946,0.366487546108623,-0.428207184131981,-0.145699866726512,0.260031513713443,0.119285031368104,-0.15323451095091,0.0668010936461127
"P004G02S02",0.895184708743247,-1.64417403806312,0.887259353444035,-0.5274963960959,-0.991016776989667,1.10381118853959,-0.599048275435096,0.536589907463475
"P005G01S01",-0.564825910282841,-1.25809847742041,1.33648258716838,-0.223493998401676,-0.205780288384185,-0.548633333568546,0.628893041330296,-0.0952399258321678
"P006G01S02",-0.614350779125697,-0.570642175723232,-0.654604193067338,0.614927392601354,0.585770002534754,0.675492651832889,0.790335558924568,-0.623874366121967
"P007G02S01",1.85794832092911,0.103081165037036,-0.717686656300191,0.698269262886415,-0.353760219725694,0.0245576023545967,-0.241806615148216,-0.142766061858913
"P008G02S02",0.00873991932478032,0.741237418119647,-0.629009851132701,0.0262577205280781,0.344582290146076,0.885889014833548,-0.857759254469539,0.294473781945941
"P009G01S01",-1.1481744720279,-0.227765827330125,-0.273360877124843,-0.590156619345791,0.340510833510933,-0.162054801033368,-0.132944306911205,0.193335281534092
"P010G01S02",-0.22446876264774,0.860916172335291,-0.286685172677479,-0.062128547923399,0.56402150300993,0.273358883137956,-0.0889013763207069,0.136746117538338
"P011G02S01",-1.62201102817642,-0.305386570012007,-2.06521955921507,-1.65519628321211,-1.08875679983704,-0.290765833862418,-2.78417230509395,-1.07091600993442
"P012G02S02",0.240161621404643,-1.39454482081742,0.623659293676178,0.0437933881715778,0.0422774374947219,-0.225725730762064,0.117165047841807,-0.0294789643313369
"P014G01S02",0.248820954871189,-0.537492275719253,-1.649387242136,0.0880159373151302,-1.22873279374072,-0.252029062678394,-0.748730369122223,-0.480840583933184
"P015G02S01",-0.31109718981686,0.520744619915045,-0.158307095154475,-0.183964784706813,-1.1881519478671,0.358071014501161,-0.108394055880865,-0.683877148734456
"P016G02S02",0.540079948375544,-0.427594754836782,0.928506445923552,0.169867154680573,-0.162797150565845,-0.142773004883267,0.322513882360251,-0.0575409581423327
"P018G01S02",-2.13912490450437,0.172069192590201,-0.924924898607066,-1.43166664234884,0.0697563696218354,0.085302113295242,-0.688982468489508,0.0864239120973456
"P019G02S01",0.30462998270433,-1.14292946523804,-0.698655871812769,0.217457270068476,-0.453564242992575,-0.878408535165986,-0.568969598564939,-0.305585430679235
"P020G02S02",-0.359063733401258,0.840467694548922,-0.9978831295542,-0.0839680972620025,-0.142767217551596,0.25031809174666,-0.33542139758316,-0.0560300526500692
"P021G01S01",2.07151803822452,-1.0355529693769,-0.51993325844554,-2.36287944251441,1.34422875820835,1.38047265248182,0.74561150043293,-1.54459605680359
"P022G01S02",-0.922860857474813,1.54198382193711,-2.2143659666685,0.566915047446023,-0.0175426938170282,-1.09498184254667,1.64420555409716,0.0332312148929528
"P023G02S01",0.73163795518378,-0.762611329559595,-0.326972606318715,-0.585637919458645,0.877118341778974,0.709556693102333,0.322953742262054,-0.725790438814756
"P024G02S02",1.50149408943373,-1.45103647263905,1.28215730791352,-3.25743392671603,-0.879412280959057,3.52106130448407,-3.34953195347061,1.82401604166087
"P025G01S01",-0.481837828483039,-1.88446049687556,-0.336129430763464,-0.153022820549635,-0.799121215434112,-0.583470354662898,-0.0920944687923854,-0.258359650901714
"P026G01S02",-0.583535579375361,1.88951217163369,0.0487018682976832,0.70970740989727,-0.0374854632860082,-2.56707694372852,-0.119078610373178,0.0665621043278342
"P027G02S01",-0.531718795921119,1.70606528646268,-0.97300250866701,-0.549654037047085,-1.41699675800379,2.24047792428391,-1.32689842778136,-1.64379058758208
"P028G02S02",2.01705772070631,-0.569297590014434,0.42368497921889,0.452578654135341,0.480338679552524,-0.125671284950089,0.16532714976193,0.0830138998471406
"P029G01S01",-0.894464801657615,0.933079778535312,-0.912268988590704,-0.483550415040966,0.658965194638535,0.56163832400522,-0.624484873803943,0.337817703810506
"P030G01S02",-0.332367489389364,0.0249523398105496,-0.383856508690915,-0.24409736439416,-0.872091770210998,0.0474871623405135,-0.350975717618877,-0.633810381307131
"P031G02S01",-1.05865838529094,-0.704703133960521,1.07924664539238,-0.686430502824423,0.607155420733946,-0.537967533426675,0.929527351187459,0.389360274196553
"P032G02S02",1.55732513548328,1.51276631483272,-0.0990459087694901,0.38094316209547,-0.965183391121909,0.368978068335423,0.00646648604237446,-0.182494135755725
"P033G01S01",-0.249607200264483,1.8837626878185,-2.0706956575775,-0.0696893393183995,2.85158522496023,1.09383559280225,-1.87575479561308,1.83296252921326
"P034G01S02",0.264893965079425,-0.119453232102165,2.01336701045392,0.208166031175367,-0.597393515703067,-0.0928126868004541,1.92055322735146,-0.466092894072929
"P035G01S01",-0.31569679814248,1.08962387844552,-0.860153335932597,-0.102141053926759,0.44072274207383,0.447742718646994,-0.396601059715795,0.125284777273515
"P036G02S02",0.82906003524292,0.68897851897055,-0.464913862743247,0.272799207374261,-0.0473448569302635,0.258020878064287,-0.187386344843259,-0.0267392383434907
"P037G01S01",-0.0860212248767969,-0.896813477770411,0.153067093258976,0.0159209949661847,-0.28274299196457,0.20131365533501,-0.0395738352829151,0.0191773560249649
