Interval_stimulus,OS,Response.keys,Response.rt,Start.keys,Start.rt,date,expName,frameRate,id,key_resp.keys,key_resp.rt,participant,psychopyVersion,trials.ran,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN
4.245890256,Win32,space,0.252795,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,37,37,0
3.7134965039999996,Win32,space,0.51652,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,38,38,0
5.847997785,Win32,space,0.26477,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,39,39,0
5.4102990029999996,Win32,space,0.21168499999999998,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,40,40,0
8.947948575,Win32,space,0.20954,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[7.525594999999157],12,2020.1.3,1,0,41,41,0
3.383666199,Win32,space,0.253705,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,42,42,0
4.046569508999999,Win32,space,0.233665,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,43,43,0
2.94029504,Win32,space,0.28329499999999996,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,44,44,0
6.07441785,Win32,space,0.22564,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[1.3424749999976484],12,2020.1.3,1,0,45,45,0
2.397065701,Win32,space,0.42894499999999997,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[1.4159199999994598],12,2020.1.3,1,0,46,46,0
4.873534309,Win32,space,0.20992,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space"",""space""]","[0.292249999998603,1.067284999997355]",12,2020.1.3,1,0,47,47,0
6.776707012,Win32,space,0.258275,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[3.79884999999922],12,2020.1.3,1,0,48,48,0
3.6690553610000003,Win32,space,0.198325,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,49,49,0
2.1945817819999998,Win32,space,0.163915,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,50,50,0
3.335958143,Win32,space,0.21039000000000002,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,51,51,0
3.4958175369999998,Win32,space,0.21029499999999998,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,52,52,0
7.542191579,Win32,space,0.219325,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,53,53,0
2.084665135,Win32,space,0.21022,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,54,54,0
3.79337343,Win32,space,0.19505,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[0.47590499999932945],12,2020.1.3,1,0,55,55,0
4.038674026,Win32,space,0.250415,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,56,56,0
2.068643527,Win32,space,0.331995,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,57,57,0
2.440090372,Win32,space,0.25895999999999997,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,58,58,0
8.644638095,Win32,space,0.20700500000000002,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space"",""space""]","[3.011244999994233,3.024744999995164]",12,2020.1.3,1,0,59,59,0
7.665387965,Win32,space,0.20262,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,60,60,0
5.232871236,Win32,space,0.227225,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,61,61,0
4.72384135,Win32,space,0.24495,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,62,62,0
4.265024692,Win32,space,0.20599499999999998,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[0.9924099999989267],12,2020.1.3,1,0,63,63,0
4.2334266,Win32,space,0.218275,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,64,64,0
8.618711146,Win32,space,0.199125,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,65,65,0
2.676516292,Win32,space,0.26609,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,66,66,0
9.365603848,Win32,space,0.23886999999999997,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,67,67,0
2.710663798,Win32,space,0.34298,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,68,68,0
3.073858383,Win32,space,0.270545,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[2.3004500000024564],12,2020.1.3,1,0,69,69,0
6.857741613,Win32,space,0.209065,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[5.56113500000356],12,2020.1.3,1,0,70,70,0
6.079069689,Win32,space,0.291485,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,71,71,0
7.748590217,Win32,space,0.33276,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,72,72,0
8.715438977,Win32,space,0.189925,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space"",""space""]","[6.6104750000013155,6.629085000000487]",12,2020.1.3,1,0,73,73,0
3.728949918,Win32,space,0.24155500000000002,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,74,74,0
6.883900211,Win32,space,0.29411,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[1.4841000000014901],12,2020.1.3,1,0,75,75,0
4.425249372,Win32,space,0.27044,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,76,76,0
3.896041692,Win32,space,0.35106,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,77,77,0
3.9890193710000004,Win32,space,0.337735,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,78,78,0
8.964204508,Win32,space,0.256715,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[1.7178500000006807],12,2020.1.3,1,0,79,79,0
9.244176445,Win32,space,0.21610500000000002,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space""]",[8.890294999997536],12,2020.1.3,1,0,80,80,0
7.042731383,Win32,space,0.33337,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,81,81,0
8.117894598,Win32,space,0.23847,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,82,82,0
5.186860507,Win32,space,0.84024,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,83,83,0
2.8266237010000004,Win32,space,0.43906999999999996,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,84,84,0
5.397139231000001,Win32,space,0.328885,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,,,12,2020.1.3,1,0,85,85,0
7.553527346,Win32,space,0.37035,,,2021-02-17_12h13.13.032,PVT builder,60,12.0,"[""space"",""space""]","[4.148954999997159,6.577900000003865]",12,2020.1.3,1,0,86,86,0
4.515401009,Win32,space,0.32066,space,12.280435,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,0,0,0
6.181833726,Win32,space,0.223505,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,1,1,0
9.397662992999999,Win32,space,0.27416,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,2,2,0
6.107895121,Win32,space,0.26738,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,3,3,0
2.925294815,Win32,space,0.26757,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,4,4,0
6.6836111460000005,Win32,space,0.21706999999999999,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,5,5,0
5.632946092,Win32,space,0.23459499999999997,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,6,6,0
3.192850715,Win32,space,0.267175,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,7,7,0
3.4148988589999996,Win32,space,0.23801,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,8,8,0
5.5139026829999995,Win32,space,0.24946500000000002,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,9,9,0
4.533629618,Win32,space,0.267275,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,10,10,0
2.605004714,Win32,space,0.300765,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,11,11,0
2.7888138139999996,Win32,space,0.283815,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,12,12,0
4.695538948,Win32,space,0.251255,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,13,13,0
6.500765313,Win32,space,0.23378000000000002,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,14,14,0
6.508434815,Win32,space,0.30064,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,15,15,0
2.189462806,Win32,space,0.41733000000000003,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,16,16,0
6.65680061,Win32,space,0.217045,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,17,17,0
5.818607641,Win32,space,0.21744499999999997,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,18,18,0
4.274176272,Win32,space,0.23805500000000002,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,19,19,0
4.46597047,Win32,space,0.200715,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,20,20,0
3.692954259,Win32,space,0.21700500000000003,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,21,21,0
7.336221162,Win32,space,0.250695,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,22,22,0
5.8481760210000004,Win32,space,0.250755,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,23,23,0
4.3054780589999995,Win32,space,0.23419,,,2021-02-22_19h38.39.766,PVT builder,60,13.0,,,13,2020.1.3,1,0,24,24,0
