"","lower","r","upper","p"
"Age-Lngst",-0.226427986139231,0.0683637143748845,0.351682322926477,0.651676971490635
"Age-Trp_M",-0.16698948906681,0.129590686718243,0.404665255110083,0.390690372940564
"Age-Rcprc",-0.0689522107100512,0.225866942370387,0.484403277939873,0.13121555569436
"Age-PVT_l",-0.379229873589328,-0.0964302739819412,0.202845286396903,0.528601694925951
"Age-m_PVT",-0.446898498932126,-0.179945455398101,0.116434892935997,0.231439157892987
"Age-Enjym",-0.55832043615344,-0.319866070683825,-0.0325946517029132,0.0302332577585257
"Wrd_r-Nnwrd_rd",0.27032885401472,0.522409234721192,0.707458106198979,0.000232265648813889
"Wrd_r-Splln",0.194241990693719,0.45867617076342,0.660964891930712,0.00134621234314088
"Wrd_r-Vcblr",-0.0401641530139426,0.25308475172958,0.506192806090394,0.0896934981221563
"Wrd_r-Nnwrd_rp",-0.00312156399161644,0.287436950835231,0.533240164052576,0.0527533704194435
"Wrd_r-Rclln",-0.0886568411472461,0.206967917090498,0.469082374957865,0.167559201860646
"Wrd_r-Mtr_R",-0.0305570151698646,0.272285778911006,0.529340510501732,0.077323932711993
"Wrd_r-Dff_t",-0.393797303315546,-0.113367913095687,0.186367821709519,0.458396347563106
"Wrd_r-Lngst",-0.460120313926368,-0.192598999266884,0.106983133167095,0.204961200782458
"Wrd_r-Trp_M",-0.434911961688474,-0.162067861445639,0.13803259403236,0.28749081883294
"Wrd_r-Rcprc",-0.26064221585424,0.0356166291778044,0.325744978755818,0.816325298115908
"Wrd_r-PVT_l",-0.285477530919854,0.0124587521861556,0.308199168278482,0.936025755219274
"Wrd_r-m_PVT",-0.25342062970653,0.0433370165869627,0.332639460452396,0.777433183205144
"Wrd_r-Enjym",-0.456674759822557,-0.18839512578493,0.111293348093093,0.215210969901503
"Nnwrd_rd-Splln",0.35016096035556,0.583699803613607,0.748917432831709,2.56824968224089e-05
"Nnwrd_rd-Vcblr",-0.112720550984798,0.183584858826881,0.449905493141421,0.221980593966062
"Nnwrd_rd-Nnwrd_rp",0.0121132599611806,0.301351614450243,0.544054775996508,0.0418308202149169
"Nnwrd_rd-Rclln",-0.156108979885515,0.140558932382802,0.413965533800865,0.351482258751091
"Nnwrd_rd-Mtr_R",-0.159422107327958,0.148008621117339,0.429269939036155,0.343542656863564
"Nnwrd_rd-Dff_t",-0.474257817764947,-0.209951398007298,0.0890718190113231,0.166282407596558
"Nnwrd_rd-Lngst",-0.562597547863612,-0.322286498610577,-0.031756848681079,0.0308422393817378
"Nnwrd_rd-Trp_M",-0.574489381308741,-0.337943616370828,-0.049300179350903,0.0231798662094008
"Nnwrd_rd-Rcprc",-0.262380651684176,0.0337528221751522,0.324075920118056,0.82578398739104
"Nnwrd_rd-PVT_l",-0.167843851508903,0.135803548003095,0.415915292150568,0.379418789020719
"Nnwrd_rd-m_PVT",-0.281744837560595,0.0128519521281032,0.305234372266668,0.933222729178039
"Nnwrd_rd-Enjym",-0.53195141988984,-0.282534000209778,0.0119946692775442,0.0600432673899494
"Splln-Vcblr",-0.300355793706938,-0.0110184806992295,0.280175745682979,0.942063564430462
"Splln-Nnwrd_rp",0.00305832861792228,0.29309615407631,0.537648266252223,0.0480620564033104
"Splln-Rclln",-0.231110555932703,0.0634440063217888,0.347344768750436,0.675304863065781
"Splln-Mtr_R",-0.227795133555583,0.0778768152545552,0.369576350567166,0.619626762344695
"Splln-Dff_t",-0.488542347271954,-0.227655017836363,0.0705964652504222,0.132578994399816
"Splln-Lngst",-0.416739242791947,-0.140377276040544,0.15973874941436,0.35770558396482
"Splln-Trp_M",-0.425002638349774,-0.15020751796296,0.149937278491728,0.32468779568806
"Splln-Rcprc",-0.170940151710257,0.129070074616818,0.407177479729246,0.398107217532741
"Splln-PVT_l",-0.373723611998474,-0.0864330977671314,0.215989629306655,0.576931260702067
"Splln-m_PVT",-0.361562147830436,-0.0761053544426844,0.222396791063689,0.619269799570488
"Splln-Enjym",-0.385204947675025,-0.103357773143502,0.196126420433964,0.499264661269697
"Vcblr-Nnwrd_rp",-0.411995972807609,-0.141579674779202,0.15175712376159,0.342479180044358
"Vcblr-Rclln",-0.470383109206532,-0.211829952378426,0.0802164697745507,0.152887258352954
"Vcblr-Mtr_R",-0.0520652711886587,0.24865865521405,0.508034934943039,0.10360774161267
"Vcblr-Dff_t",-0.303755696580948,-0.0147591057908905,0.276724575679901,0.9224472476041
"Vcblr-Lngst",-0.325649291995584,-0.0390421072876569,0.25413627859189,0.796710007734267
"Vcblr-Trp_M",-0.215727056166256,0.0795530062681113,0.361502482337827,0.599207808548656
"Vcblr-Rcprc",-0.315084044096728,-0.0272813810618657,0.265116313053898,0.857174105778576
"Vcblr-PVT_l",-0.304931435649418,-0.0125179795657262,0.282052319865046,0.934954249395983
"Vcblr-m_PVT",-0.242563284570351,0.0513506486670018,0.33663054363666,0.734673016150965
"Vcblr-Enjym",-0.471257604373552,-0.209639298190846,0.0858855587699344,0.162020997264597
"Nnwrd_rp-Rclln",0.275867123474796,0.521704561173373,0.703478823712547,0.000169467520881245
"Nnwrd_rp-Mtr_R",-0.244164328435327,0.0568359429838974,0.347846926807101,0.714029282376681
"Nnwrd_rp-Dff_t",-0.215921940928978,0.0793498905479913,0.361324775776492,0.600143620535571
"Nnwrd_rp-Lngst",-0.259751547560308,0.0330377177270901,0.320264176998079,0.827455977859381
"Nnwrd_rp-Trp_M",-0.309968849844694,-0.0216158745877388,0.270378808990547,0.886615668491881
"Nnwrd_rp-Rcprc",-0.500030538199233,-0.245346469225604,0.048398704860235,0.100289181549363
"Nnwrd_rp-PVT_l",0.0832184453375777,0.367768710627958,0.59686906233673,0.0129394107713195
"Nnwrd_rp-m_PVT",0.0117802559487002,0.30104877785905,0.543820263754851,0.042047113178952
"Nnwrd_rp-Enjym",-0.492139586296547,-0.235484551090496,0.0588355313729165,0.115158232118209
"Rclln-Mtr_R",-0.250237500109084,0.0503860828337037,0.342148379292667,0.745326293123524
"Rclln-Dff_t",-0.139866557856031,0.156797951602913,0.427631027288274,0.298041417707349
"Rclln-Lngst",-0.500186030938733,-0.245541331277482,0.0481918349045662,0.100011046232798
"Rclln-Trp_M",-0.253543208932726,0.0396750410730234,0.326215865601727,0.793485837123912
"Rclln-Rcprc",-0.54413430327456,-0.301454322850881,-0.0122262143507494,0.0417576702488632
"Rclln-PVT_l",0.0521207459503041,0.340446102600299,0.576380848946685,0.022117327070365
"Rclln-m_PVT",0.00206444509896268,0.292187380007623,0.536941298087896,0.0487917262186316
"Rclln-Enjym",-0.368899121657909,-0.0880280639931361,0.207574414477283,0.560744649214806
"Mtr_R-Dff_t",-0.120712381338373,0.182716007699244,0.454919369787163,0.23517449051778
"Mtr_R-Lngst",-0.271051021349641,0.0280897214112113,0.322282485827959,0.85636936589545
"Mtr_R-Trp_M",-0.042064816110374,0.258037989129087,0.515432894076472,0.0908122281737486
"Mtr_R-Rcprc",-0.402094701139286,-0.115726778513478,0.191265039605881,0.459908275755229
"Mtr_R-PVT_l",-0.192866826801669,0.117980338190838,0.407306532051919,0.456797743929196
"Mtr_R-m_PVT",-0.214380980356453,0.091878771924575,0.381689816398349,0.55789065762013
"Mtr_R-Enjym",-0.233634498418793,0.0679596555157246,0.357624631634457,0.661152054825532
"Dff_t-Lngst",0.0196852692727287,0.308221949692241,0.549364894586738,0.0371630621232432
"Dff_t-Trp_M",0.219731296653268,0.479446608711673,0.675699206886539,0.000748185250928538
"Dff_t-Rcprc",-0.589185593176937,-0.357475647480549,-0.0714377905058218,0.0159177356748868
"Dff_t-PVT_l",0.0342791454910792,0.327823321863152,0.569297232476277,0.0298286138431526
"Dff_t-m_PVT",0.0358182322757415,0.325925408120315,0.565370257019059,0.028896485337343
"Dff_t-Enjym",-0.268194951933174,0.0239692536257968,0.312095665086929,0.874365343482433
"Lngst-Trp_M",0.22263860334929,0.481797338156896,0.677356968446124,0.000698417863857496
"Lngst-Rcprc",-0.421154514804762,-0.145622970710192,0.154515760639219,0.339840587459747
"Lngst-PVT_l",-0.246084876073659,0.0547989861364773,0.346049565118548,0.723866111534407
"Lngst-m_PVT",-0.157815554872662,0.142310793069684,0.418368192118261,0.351055453780823
"Lngst-Enjym",-0.260655060165453,0.0320696165736847,0.319394181643843,0.832438496410724
"Trp_M-Rcprc",-0.529380832762915,-0.27923806661919,0.0155722367351756,0.0632235584216246
"Trp_M-PVT_l",-0.170309201802644,0.133311597593861,0.413814196819623,0.388306958164954
"Trp_M-m_PVT",-0.0565966208530396,0.240940034426833,0.499170571435153,0.110850733065244
"Trp_M-Enjym",-0.265008192242376,0.027397585338618,0.315188786304428,0.856572098523023
"Rcprc-PVT_l",-0.798325534293655,-0.659285757121455,-0.453517858039666,8.44339433773068e-07
"Rcprc-m_PVT",-0.984733126053892,-0.972415792606945,-0.950409122328486,1.87866913375575e-29
"Rcprc-Enjym",-0.367136149379496,-0.0824921630408422,0.216278776602814,0.590078808542319
"PVT_l-m_PVT",0.452703168711106,0.658705796081141,0.797953426709227,8.69923196475246e-07
"PVT_l-Enjym",-0.195783875095554,0.107335293847586,0.391732807863471,0.488000512882208
"m_PVT-Enjym",-0.274366850073988,0.0208459072442413,0.31246783445397,0.891885958407016
