"","(Intercept)","Probability1","Session1","Group1","Age","Probability1:Session1","Probability1:Group1","Session1:Group1","Probability1:Age","Session1:Age","Group1:Age","Probability1:Session1:Group1","Probability1:Session1:Age","Probability1:Group1:Age","Session1:Group1:Age","Probability1:Session1:Group1:Age"
"AP49828",-0.72781960124826,-0.932726130876016,-0.357488042462513,0.741165534923007,0.604396357485414,1.26516774795991,0.917168589190642,0.414861457736815,0.85191504168479,0.297499501955331,-0.607890353376043,-1.3637513907123,-1.13625967233839,-0.787728924702123,-0.274569699323317,1.07514429724666
"BDI85115",-0.948054476720968,0.27587519207426,-0.119381347263894,-0.937869652142022,-1.34776774434674,-0.21246998316993,0.276974200188431,-0.136163910337261,0.416682387202799,-0.17833480950848,-1.34324113707638,-0.223393183054974,-0.306560203938666,0.396765487646534,-0.139793777661515,-0.279247979108051
"CSB15449",0.301992644773572,-1.20954416519435,0.0492164519782541,0.302040786946242,-0.0562995018063846,1.35150107215236,-1.26785287738037,0.0988239040309949,0.0808324253691267,-0.0165288345049205,-0.0496578692334797,1.49788460205656,-0.0814824560197628,0.137724917147313,-0.0058429465956631,-0.135085849443018
"CT38369",-0.561570072906952,-0.0879318460652333,0.54176906643094,-0.590170310999715,-1.06293146131439,1.30493373066873,-0.223354048020421,0.684669540211072,-0.298668292706183,0.988297855541319,-1.02612489048225,1.46812692951133,2.36408279603151,-0.242161716110797,0.902240254600051,2.26448290689382
"DB17486",0.0317193361536072,-0.14433087388387,1.22859889416878,-0.0475001535316482,0.0518606326840821,-0.50690887901934,0.129965772089521,-1.23611917830911,-0.0837719415519087,0.511245665672338,-0.0741918484274897,0.523849729662843,-0.260853926781622,0.104446515796703,-0.441603728667459,0.253460645965753
"DD37504",-0.736767546818463,-0.123724544848465,-0.156772494069561,0.742237734371989,-0.912295509859511,-0.583738813025745,0.122843581836463,0.182864126610116,-0.160393022902169,-0.192998921627517,0.899399390461486,0.63530436439323,-0.709946718030291,0.156798032968232,0.205548276646313,0.708679860649334
"DO12606",-1.89722705739649,-1.52488439433116,0.0306206243522701,1.89457776783131,2.22553898532488,-1.74396584361421,1.55737919682717,-0.00373344866064713,1.78334744484358,0.0150995915436085,-2.22657619409133,2.04377871198454,2.19995398520988,-1.77398428393539,0.0117530379021181,-2.11143113522257
"DV93893",0.185014673773834,0.583001969766906,-0.32678461377202,0.198257072083443,0.377134512210446,-0.300349988298504,0.58108927711484,-0.343768477328648,1.15644739917951,-0.568664896166909,0.377218733642319,-0.318487362351765,-0.590668199554363,1.10108341934844,-0.538044372406171,-0.527652063379313
"EC79302",-0.777806757098225,-1.75159973976606,-0.177670750160016,0.788623053993356,0.272056895291503,0.118088380614392,1.7342536985823,0.231764074799655,0.820683514057076,0.101382181661464,-0.277714487940465,-0.0273791411113052,-0.195666409980304,-0.810126543283089,-0.0921743210152107,0.195795735340058
"EF4934",0.333793604390426,-0.500719844205021,0.6185107500961,0.363456796876805,-0.0696679766085434,-0.243405029116866,-0.462761709972191,0.584113879609408,0.0880803645156604,-0.0566315662088208,-0.0704887109215004,-0.267901211037998,0.0207289982019875,0.0586779276615444,-0.0193828944803617,0.0623181130940359
"ELH64832",0.954834427405492,-1.37817419830478,-0.740161248680537,0.796610727947533,-1.49355161504456,-0.871464504293607,-1.3064303926795,-0.144958648350599,2.14797747850911,0.624486563518968,-1.35221697704752,-0.985707071693772,1.32706388067199,2.05626164945525,0.207899076518503,1.37504999995005
"EOL17976",-0.622509699677796,2.76233260691411,-1.76007769628968,0.592380122476666,0.639884359558806,0.171617276524917,-2.80025331555192,1.93474811521821,-3.0866563197078,1.86403509046975,-0.681238461842991,-0.0248461820837892,-0.0952976678767017,2.93587756820918,-1.73466349359921,0.189380337856606
"EP57702",-0.259188982358894,0.634928894113523,-0.149212771503019,-0.260434313364143,0.432798619782386,0.534283942396925,0.657540606925921,-0.111381498173808,-1.08771765735758,0.180875879130474,0.448129323222341,0.511303777894075,-0.813713910226295,-1.1122904014512,0.154801176779888,-0.754315865494892
"FP36564",0.418961723271151,0.0267358911814594,1.2000684938553,0.365975500320831,-0.416968045140133,0.820254136318715,-0.0906163255672627,1.46406104610703,0.0118382626592875,-0.757406494706453,-0.309558742376352,0.891037012570042,-0.641643255878708,0.0704768955639291,-1.09406940151399,-0.721678103287634
"FS36906",-0.699850852654967,-0.645121286688025,-0.654894303190048,-0.711453756495471,0.494401909273723,0.0732745490507793,-0.532112456935746,-0.605740664904743,0.534116933577986,0.530597397317729,0.542760615344926,-0.0315336217431563,-0.105842470509134,0.359619208588788,0.384970155915342,0.0751370399170999
"FS41243",-1.1709725137459,1.8973693665686,0.411754142544134,1.18367423393555,0.570844787217819,-0.857968253229434,-1.9485626348473,-0.544905826441513,-1.04248475661396,-0.309595605375319,-0.555308992385454,0.949092548547664,0.543224594681956,0.904406374118266,0.240898468191145,-0.394257124340092
"GB22001",1.74881151643399,-1.11590000809912,2.02950869218249,-1.76705602090496,-1.53124925342392,1.14066733620534,1.02046712582965,-1.84155541679836,0.842938912625989,-1.28869298771946,1.46938638389316,-1.05763236492388,-0.779738639865319,-0.910776398146459,1.48175780260576,0.896564977797425
"IM17947",1.48674294475807,1.29967169081585,-1.04451291152959,1.519812559652,-2.22845314037784,-1.2867649071385,1.28391113754006,-1.10856654699048,-1.42432981193765,0.850085718266095,-2.31853087904473,-1.27494536974903,1.25487802167061,-1.78788362978621,1.19647558242603,1.65888600014061
