distance
265
250
262
266
247
236
241
264
266
260
252
257
265
278
245
270
257
239
237
255
250
242
254
274
264
254
249
277
257
254
255
270
272
264
257
271
264
269
247
271
234
269
251
240
272
250
276
264
269
260
259
255
264
249
246
239
272
261
257
253
261
262
244
264
276
265
249
261
269
262
266
273
257
272
266
269
264
255
255
255
260
253
249
251
267
276
255
254
272
250
263
249
273
255
238
261
258
268
256
253
247
252
249
268
261
260
223
245
255
273
242
259
277
257
260
259
246
265
262
265
271
246
249
263
252
257
266
265
254
259
252
263
260
268
269
268
253
270
257
243
252
252
262
246
260
248
248
263
247
265
249
239
262
262
254
268
258
252
267
277
263
269
271
249
259
245
257
249
223
250
259
255
263
259
267
258
257
256
265
246
249
242
265
253
273
248
265
261
253
250
255
251
273
266
259
257
250
237
260
258
256
257
262
259
238
260
259
258
259
244
255
249
256
244
259
253
262
263
261
252
258
242
252
263
245
250
245
233
269
251
250
257
253
258
267
239
254
253
282
254
254
267
268
261
254
264
253
273
262
267
242
259
249
245
266
254
242
266
234
251
261
272
263
264
275
262
245
228
252
256
270
245
267
254
259
266
261
256
266
253
261
256
271
253
272
256
258
243
263
268
264
260
258
224
251
253
258
258
254
265
249
244
269
254
0
261
249
247
247
269
252
268
258
258
259
249
252
252
248
260
273
252
247
262
263
259
258
258
272
267
272
263
254
255
271
246
258
269
269
263
266
243
269
245
271
244
242
257
249
248
255
262
262
252
242
250
258
255
261
247
281
247
257
267
253
260
265
279
241
245
259
263
270
245
252
271
269
250
252
248
274
275
249
250
267
260
277
254
257
246
266
279
252
252
256
252
262
271
238
247
252
248
255
260
262
248
249
258
266
250
251
250
262
259
264
261
263
252
247
263
271
256
265
266
246
257
258
241
247
270
251
251
267
241
257
245
265
243
247
248
264
227
271
263
247
246
264
263
249
240
262
273
260
240
283
253
255
270
254
257
254
247
251
242
255
229
248
248
256
257
248
266
267
256
240
255
240
254
249
267
262
249
238
261
253
252
249
265
244
249
265
259
264
249
266
270
249
250
267
230
265
256
241
267
256
255
246
250
270
264
238
257
248
258
256
252
268
260
269
251
252
260
244
245
255
268
250
235
249
276
250
248
265
252
260
260
264
246
252
267
265
256
243
246
249
255
250
250
268
255
267
258
270
257
265
254
250
254
264
254
257
264
265
247
258
257
259
257
249
246
268
267
256
253
260
259
263
237
255
242
251
238
261
275
262
242
260
270
255
272
256
265
262
242
272
245
261
254
253
233
267
266
261
255
261
234
266
260
233
269
262
260
264
264
273
251
259
262
252
246
229
260
259
260
243
248
255
269
270
260
271
261
257
253
250
259
241
283
254
273
274
242
258
252
248
254
258
250
269
259
275
255
256
259
0
245
260
244
261
270
242
273
256
234
255
281
238
254
260
271
250
274
282
270
272
245
240
240
274
254
257
258
243
242
249
271
262
260
249
272
257
259
253
249
266
260
269
263
259
242
256
260
254
260
254
249
251
257
268
262
248
255
261
268
270
250
271
265
263
242
261
261
245
254
271
265
263
262
255
250
259
259
257
269
246
260
260
261
246
266
252
282
237
261
281
273
259
258
268
258
247
264
245
257
260
273
274
258
261
257
259
261
267
255
253
261
248
267
257
262
255
262
251
256
253
245
250
257
262
254
268
272
248
266
255
265
269
266
239
253
243
271
270
253
249
243
249
261
245
268
262
271
261
259
258
272
264
224
247
253
265
250
260
254
268
252
249
269
254
224
257
252
237
256
256
245
270
270
255
258
266
253
246
267
257
258
246
252
258
262
257
245
258
266
263
252
255
255
246
254
261
254
254
266
263
264
252
248
279
258
243
246
251
264
249
255
256
246
247
269
255
261
259
268
268
262
278
261
256
238
248
259
261
268
248
254
242
271
251
255
255
263
275
262
249
253
269
277
244
265
241
263
259
253
252
268
265
271
237
265
245
234
253
254
272
239
275
257
243
252
257
254
247
257
267
260
260
276
265
271
241
247
251
273
239
254
241
248
271
244
253
238
243
234
257
250
259
264
255
262
255
238
271
249
238
249
234
257
243
282
258
255
280
256
254
254
251
248
268
267
243
254
232
251
259
253
259
276
252
255
248
256
251
273
246
275
276
282
266
255
244
258
278
257
242
258
254
256
240
267
