Interval_stimulus,Participant,RT,Session,date,key_resp.keys,key_resp.rt,Trial
4.029916319,ADH80254,0.268885,2,2020-06-19_10h32.08.553,,,29
2.23394129,ADH80254,0.28968,2,2020-06-19_10h32.08.553,,,30
5.672549832,ADH80254,0.270615,2,2020-06-19_10h32.08.553,"[""space""]",[3.184195000001637],31
9.826284649,ADH80254,0.278885,2,2020-06-19_10h32.08.553,"[""space""]",[5.3330799999966985],32
5.389290681,ADH80254,0.380925,2,2020-06-19_10h32.08.553,,,33
9.42969684,ADH80254,0.29603,2,2020-06-19_10h32.08.553,,,34
6.787246084,ADH80254,0.29404,2,2020-06-19_10h32.08.553,,,35
9.247765308,ADH80254,0.337235,2,2020-06-19_10h32.08.553,,,36
8.65054721,ADH80254,0.30202,2,2020-06-19_10h32.08.553,,,37
4.686400161,ADH80254,0.320895,2,2020-06-19_10h32.08.553,,,38
7.812171399,ADH80254,0.28425,2,2020-06-19_10h32.08.553,,,39
4.146068704,ADH80254,0.304765,2,2020-06-19_10h32.08.553,,,40
3.148692384,ADH80254,0.329245,2,2020-06-19_10h32.08.553,,,41
3.729434625,AF18766,2.24234,1,2020-05-07_23h43.05.417,,,0
4.371340213,AF18766,0.502765,1,2020-05-07_23h43.05.417,,,1
7.241879959,AF18766,0.3358,1,2020-05-07_23h43.05.417,,,2
3.817828478,AF18766,0.322205,1,2020-05-07_23h43.05.417,,,3
6.879170587,AF18766,0.252575,1,2020-05-07_23h43.05.417,,,4
4.858930809,AF18766,0.317515,1,2020-05-07_23h43.05.417,,,5
3.675010196,AF18766,0.267555,1,2020-05-07_23h43.05.417,,,6
9.640970608,AF18766,0.287405,1,2020-05-07_23h43.05.417,"[""space""]",[4.68406999995932],7
7.456972623,AF18766,0.251135,1,2020-05-07_23h43.05.417,,,8
5.999548955,AF18766,0.485255,1,2020-05-07_23h43.05.417,"[""space""]",[5.8109749999130145],9
3.45807167,AF18766,0.334055,1,2020-05-07_23h43.05.417,,,10
5.536742492,AF18766,0.31813,1,2020-05-07_23h43.05.417,,,11
5.734499931,AF18766,0.21834,1,2020-05-07_23h43.05.417,,,12
7.321719524,AF18766,0.28647,1,2020-05-07_23h43.05.417,"[""space""]",[4.920419999980368],13
2.527253072,AF18766,0.35138,1,2020-05-07_23h43.05.417,,,14
5.525567662,AF18766,0.23821,1,2020-05-07_23h43.05.417,,,15
7.407925841,AF18766,0.26933,1,2020-05-07_23h43.05.417,,,16
7.779907918,AF18766,0.271565,1,2020-05-07_23h43.05.417,,,17
7.347515395,AF18766,0.266825,1,2020-05-07_23h43.05.417,,,18
7.414446368,AF18766,0.25683,1,2020-05-07_23h43.05.417,,,19
4.861331118,AF18766,0.257685,1,2020-05-07_23h43.05.417,,,20
5.228061695,AF18766,0.53419,1,2020-05-07_23h43.05.417,"[""space""]",[5.139094999991357],21
9.515023339,AF18766,0.26919,1,2020-05-07_23h43.05.417,,,22
6.391467116,AF18766,0.306985,1,2020-05-07_23h43.05.417,,,23
7.576418968,AF18766,0.2856,1,2020-05-07_23h43.05.417,,,24
