"","(Intercept)","Block2-1","Block3-2","Block4-3","Block5-4","Probability1","Session1","Session2","Block2-1:Probability1","Block3-2:Probability1","Block4-3:Probability1","Block5-4:Probability1","Block2-1:Session1","Block3-2:Session1","Block4-3:Session1","Block5-4:Session1","Block2-1:Session2","Block3-2:Session2","Block4-3:Session2","Block5-4:Session2","Probability1:Session1","Probability1:Session2","Block2-1:Probability1:Session1","Block3-2:Probability1:Session1","Block4-3:Probability1:Session1","Block5-4:Probability1:Session1","Block2-1:Probability1:Session2","Block3-2:Probability1:Session2","Block4-3:Probability1:Session2","Block5-4:Probability1:Session2"
"P001",-0.87591506084768,-1.75889065516808,-0.777190409533975,-1.02238212540574,0.453800668942853,1.19999620327082,-1.42809627165807,0.479220085201863,0.214553163447374,-1.21012055045421,0.787032853325421,-0.976132169278651,0.336993112329815,1.15959566132109,-0.416816949335364,-1.133791505741,-0.832924449320079,-0.845819561638556,1.27806675726259,0.806054244306878,-0.232244810959438,0.284611790213341,-0.104491022736591,0.93232977594557,-0.0300348108292294,0.0990758621904257,0.225678585590025,-0.53254008022459,1.62212091734698,-0.104510558715966
"P002",7.94838641268648e-06,-0.0131037582792926,0.864490885980944,-1.94022109838567,1.70422257448172,-0.532411905571089,-0.089934337226807,-0.266808257109236,-0.115649925319341,1.71187905973527,-2.88981659194422,0.344410153219477,-0.711005516390256,-0.503534033228497,0.540301157590265,-0.0177182576459951,0.500641355900768,-0.325093501117465,0.283923159240818,-0.00996660946461629,-0.0713310300558015,2.26397429451589,0.0851706827152224,-0.602282441343133,-0.591866151314498,0.799357098615885,0.27005194194901,0.78411944132397,1.11936229762486,-1.63031876766464
"P003",-1.08419837819114,0.48357317977314,1.66746656683583,-0.926227830280095,1.0330272129439,1.82299456638294,-1.36132402130412,0.393476828090083,-1.05372043833847,1.05744741697543,-0.333639573107094,1.12012833704,-1.14242791378239,1.19342213427169,-0.675536103559774,0.311588949088548,-1.95966028629398,1.38690329739493,0.514325765536014,-2.54515691770356,-0.480422301809424,-1.26328780656707,0.28261116718034,-0.0929367672957326,-0.3736155213746,0.778127283699445,2.10529996843623,-0.141691380513086,-1.72834634082829,0.199268610381858
"P004",0.194047004974357,-0.499734394149597,-0.427810780948081,0.184066361114848,0.650436939347285,-0.00406438335631288,0.367688319786598,0.648047540391572,0.635295080512251,0.491715538336242,-0.700150365915259,0.0253923129757974,-0.344412215892503,-0.780780101662866,0.102304843333071,-0.322899342426545,0.540411944126912,0.508616398207555,-1.48557647633681,0.268083451705894,-0.328103513977599,-0.0907828075525445,-1.07822115606037,-0.247034709841896,-0.57044815561818,0.2947413832845,-1.46699573847753,1.51167503851246,-0.875476421853685,0.57986766302854
"P005",0.787651664988346,1.1283964437194,0.217298707193015,0.46429800916935,-0.430188825750071,-2.40387594959624,-1.39707944133556,0.504892446442738,-0.468222002072959,0.0837283225673539,0.155929605944322,-0.205656745359755,-0.865228998993053,0.394875928637157,-0.0692499240718565,0.161585576312741,0.0171581692101816,-0.25127858462465,0.845742823568829,1.14339353964299,0.108421650548212,0.901550723187402,-0.601885725519223,0.506288038690446,0.56747209879672,-1.03251199267416,-1.18895119145778,-0.217325890747451,-1.30243536809223,2.68394183880013
"P006",0.180353383527804,0.121209649986064,-1.71471670688492,0.650847083088405,0.914517644646343,-0.0839985872316348,-0.247751432976905,-0.288046724024935,-0.489365896782607,0.738412068859334,-1.11754182561194,0.667908072866955,0.077743824237276,-0.190940925858252,1.46920223562781,-0.954645039739745,1.5275196135393,-1.26878811152695,0.997232582916275,0.680136957576426,0.654580183112919,1.73946552146237,-1.61228977869464,-1.11102512467274,2.41959985389699,-0.236602944431618,1.68443006590291,-0.315761444195738,0.668268015168222,-0.199768362748051
"P007",-1.53951259891383,-1.70566317666755,1.05169148108312,-0.554126361231564,1.29931271561523,0.0347722760892234,-0.54476561285846,-0.170258088588373,-0.31931854985396,0.919110526322669,-1.47578765936109,2.93204187108448,-1.36666174443324,0.670153486373051,-0.851141001360703,0.193350583611206,-1.67443189745515,0.961504618072436,1.95959622343711,-1.69329701219853,1.37794305575874,1.38298745164009,-1.97321561406073,2.97834507306427,-0.293311989883147,-1.34017538108291,-2.26065610524897,2.19355530259872,0.30477525084603,-1.26788111713128
"P008",0.647313722236305,1.0951127285841,0.545643662380747,-0.765182459958896,1.46945832135724,0.633145762485196,0.278555985631617,-1.46553395810758,0.945572483284397,-1.46980322809283,0.00174104672712497,1.18904053625626,-1.11817025763263,0.67869746567367,-0.255425262880867,0.466880376934902,-0.417092261473849,-1.82152464569912,1.21176106536154,1.26218043708693,-0.418198500114189,1.45097778770617,-0.336347139923162,-0.626271409827698,0.346442134580472,0.315397913678741,0.320397185890386,-0.746542433063915,0.521321215652225,-0.504346984059114
"P009",-0.841849358212357,-1.15801902923471,0.449550492752848,-0.644069162362603,-0.505674111107776,0.922361279544505,-0.835175214189093,0.0259037181427122,0.236794929911834,0.440211692739511,-0.157548947672374,-0.459320801831538,-0.110093984903159,0.206568906967026,0.692641505263336,0.742889753960278,0.0765428215646597,-0.434572078608356,-0.207546666806324,-0.307385783950077,-0.0477491268627729,-0.21330355376631,-0.973313572766793,1.03605203702896,-0.0659642615071804,0.51545014230763,0.472875095151516,-1.10260996944642,0.174084962193249,0.0862977313783861
"P010",1.41449333602548,2.05313259091689,-0.142025137399816,0.48311541976143,0.526256782926724,0.673738129902792,0.313606600086895,-0.689986899749801,-0.203915183723935,-0.0968039502675697,0.312856831673569,0.738736826353476,-2.20727221027789,1.69639003225424,-0.295699447739291,0.577588634925568,-0.794617030193216,0.415754982125342,0.0503224767738953,0.404074794363715,-0.75274716336029,-0.757663237526919,-0.523182595192353,0.298137384858005,-0.299642643258731,1.07820945104011,-1.82012175684989,0.648656288283913,0.0919929063330436,1.03747580583386
